      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.042       15     +    0    0    0	(N
    0:00.344      124     N    0    0    0
    0:01.061      382     N    0    0    0
    0:01.789      644     N    0    0    0
    0:02.478      892     N    0    0    0
    0:03.192     1149     N    0    0    0
    0:03.869     1393     N    0    0    0
    0:04.578     1648     N    0    0    0
    0:05.253     1891     N    0    0    0
    0:05.964     2147     N    0    0    0
    0:06.644     2392     N    0    0    0
    0:07.306     2630     N    0    0    0
    0:08.000     2880     N    0    0    0
    0:08.689     3128     N    0    0    0
    0:09.381     3377     N    0    0    0
    0:10.061     3622     N    0    0    0
    0:10.753     3871     N    0    0    0
    0:11.442     4119     N    0    0    0
    0:12.133     4368     N    0    0    0
    0:12.844     4624     N    0    0    0
    0:13.531     4871     N    0    0    0
    0:14.219     5119     N    0    0    0
    0:14.892     5361     N    0    0    0
    0:15.603     5617     N    0    0    0
    0:16.292     5865     N    0    0    0
    0:16.969     6109     N    0    0    0
    0:17.669     6361     N    0    0    0
    0:18.361     6610     N    0    0    0
    0:19.061     6862     N    0    0    0
    0:19.769     7117     N    0    0    0
    0:20.492     7377     N    0    0    0
    0:21.203     7633     N    0    0    0
    0:21.908     7887     N    0    0    0
    0:22.639     8150     N    0    0    0
    0:23.347     8405     N    0    0    0
    0:24.050     8658     N    0    0    0
    0:24.744     8908     N    0    0    0
    0:25.467     9168     N    0    0    0
    0:26.178     9424     N    0    0    0
    0:26.881     9677     N    0    0    0
    0:27.611     9940     N    0    0    0
    0:28.319    10195     N    0    0    0
    0:29.014    10445     N    0    0    0
    0:29.728    10702     N    0    0    0
    0:30.450    10962     N    0    0    0
    0:31.167    11220     N    0    0    0
    0:31.847    11465     N    0    0    0
    0:32.589    11732     N    0    0    0
    0:33.269    11977     N    0    0    0
    0:33.978    12232     N    0    0    0
    0:34.694    12490     N    0    0    0
    0:35.403    12745     N    0    0    0
    0:36.106    12998     N    0    0    0
    0:36.803    13249     N    0    0    0
    0:37.533    13512     N    0    0    0
    0:38.228    13762     N    0    0    0
    0:38.925    14013     N    0    0    0
    0:39.606    14258     N    0    0    0
    0:40.294    14506     N    0    0    0
    0:40.992    14757     N    0    0    0
    0:41.667    15000     N    0    0    0
    0:42.389    15260     N    0    0    0
    0:43.081    15509     N    0    0    0
    0:43.775    15759     N    0    0    0
    0:44.483    16014     N    0    0    0
    0:45.192    16269     N    0    0    0
    0:45.911    16528     N    0    0    0
    0:46.608    16779     N    0    0    0
    0:47.317    17034     N    0    0    0
    0:48.006    17282     N    0    0    0
    0:48.708    17535     N    0    0    0
    0:49.417    17790     N    0    0    0
    0:50.136    18049     N    0    0    0
    0:50.819    18295     N    0    0    0
    0:51.517    18546     N    0    0    0
    0:52.225    18801     N    0    0    0
    0:52.917    19050     N    0    0    0
    0:53.625    19305     N    0    0    0
    0:54.311    19552     N    0    0    0
    0:55.019    19807     N    0    0    0
    0:55.714    20057     N    0    0    0
    0:56.428    20314     N    0    0    0
    0:57.153    20575     N    0    0    0
    0:57.869    20833     N    0    0    0
    0:58.578    21088     N    0    0    0
    0:59.292    21345     N    0    0    0
